#,اسم اللعبة,اسم المجلد,حالة النشر,حالة الفحص,نتيجة الفحص,تاريخ الفحص,جاهزية الإعلانات,ملاحظات الفحص,الرابط,تاريخ الإضافة
160,Snailbob3,snailbob3,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/snailbob3,2026-02-07
161,Snailbob4,snailbob4,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/snailbob4,2026-02-07
162,Snailbob5,snailbob5,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/snailbob5,2026-02-07
163,Snailbob7,snailbob7,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/snailbob7,2026-02-07
164,Soccerheads,soccerheads,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/soccerheads,2026-02-07
165,Soccermasterseuro2020,soccermasterseuro2020,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/soccermasterseuro2020,2026-02-07
166,Soccerrandom,soccerrandom,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/soccerrandom,2026-02-07
167,Solitaireclassic,solitaireclassic,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/solitaireclassic,2026-02-07
168,Spacebarclicker,spacebarclicker,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/spacebarclicker,2026-02-07
169,Spidersolitaire,spidersolitaire,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/spidersolitaire,2026-02-07
170,Stickmanhook,stickmanhook,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/stickmanhook,2026-02-07
171,Stickmerge,stickmerge,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/stickmerge,2026-02-07
172,Stickmerge2,stickmerge2,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/stickmerge2,2026-02-07
173,Sudoku,sudoku,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/sudoku,2026-02-07
174,Superliquidsoccer,superliquidsoccer,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/superliquidsoccer,2026-02-07
175,Supermariowonder,supermariowonder,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/supermariowonder,2026-02-07
176,Swingo,swingo,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/swingo,2026-02-07
177,Tag,tag,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/tag,2026-02-07
178,Tanktrouble,tanktrouble,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/tanktrouble,2026-02-07
179,Taptapshots,taptapshots,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/taptapshots,2026-02-07
180,Test,test,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/test,2026-02-07
181,Timberguy,timberguy,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/timberguy,2026-02-07
182,Tiny Fishing,tiny-fishing,منشورة,تم الفحص,PASS,2026-02-21,,تم النشر بنجاح بواسطة Manus AI,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/tiny-fishing,2026-02-07
183,Tinyfishing,tinyfishing,منشورة,تم الفحص,PASS,2026-02-21,,تم النشر بنجاح بواسطة Manus AI (مكرر لـ Tiny Fishing),https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/tinyfishing,2026-02-07
184,Towercrash3D,towercrash3d,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/towercrash3d,2026-02-07
185,Trafficcontrol,trafficcontrol,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/trafficcontrol,2026-02-07
186,Tropicalmerge,tropicalmerge,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/tropicalmerge,2026-02-07
187,Tunnelrush2,tunnelrush2,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/tunnelrush2,2026-02-07
188,Turnturn,turnturn,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/turnturn,2026-02-07
189,Ubg98,ubg98,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/ubg98,2026-02-07
190,Vex3,vex3,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/vex3,2026-02-07
191,Vex4,vex4,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/vex4,2026-02-07
192,Vex5,vex5,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/vex5,2026-02-07
193,Vex6,vex6,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/vex6,2026-02-07
194,Vex7,vex7,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/vex7,2026-02-07
195,Volleyrandom,volleyrandom,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/volleyrandom,2026-02-07
196,Wheeliebike,wheeliebike,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheeliebike,2026-02-07
197,Wheeliebike2,wheeliebike2,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheeliebike2,2026-02-07
198,Wheely2,wheely2,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheely2,2026-02-07
199,Wheely3,wheely3,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheely3,2026-02-07
200,Wheely4,wheely4,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheely4,2026-02-07
201,Wheely5,wheely5,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheely5,2026-02-07
202,Wheely6,wheely6,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheely6,2026-02-07
203,Wheely7,wheely7,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheely7,2026-02-07
204,Wheely8,wheely8,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wheely8,2026-02-07
205,Wiggle,wiggle,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wiggle,2026-02-07
206,Woodblockpuzzle,woodblockpuzzle,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/woodblockpuzzle,2026-02-07
207,Woodventure,woodventure,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/woodventure,2026-02-07
208,Wordleunlimited,wordleunlimited,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wordleunlimited,2026-02-07
209,Wordslide,wordslide,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/wordslide,2026-02-07
210,Worldshardestgame,worldshardestgame,غير منشورة,غير مفحوصة,,,,,https://github.com/AbuSalehBinshaq/kasrah-games-v2/tree/master/games/worldshardestgame,2026-02-07
